Data,Endereço IP,País,Origem,Ação,Host
08/07/2024 11:18,104.47.51.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:18,104.47.57.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:18,104.47.51.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:18,104.47.56.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:18,104.47.57.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:18,104.47.51.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:17,104.47.56.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:17,104.47.51.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:17,104.47.51.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:17,104.47.56.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:17,104.47.56.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:17,104.47.51.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:17,104.47.51.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:17,104.47.57.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:17,104.47.51.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:17,104.47.56.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:17,104.47.57.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:17,104.47.57.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:17,104.47.57.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:17,104.47.56.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:17,104.47.57.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:17,104.47.57.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:17,104.47.56.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:17,104.47.51.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:16,104.47.56.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:16,104.47.51.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:16,104.47.57.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:16,104.47.57.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:16,104.47.56.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:16,104.47.56.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:16,104.47.56.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:16,104.47.56.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:16,104.47.57.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:16,104.47.51.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:16,104.47.51.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:16,104.47.57.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:16,104.47.57.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:16,104.47.57.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:16,104.47.57.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:16,104.47.56.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:16,104.47.51.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:16,104.47.57.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:16,104.47.57.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:15,104.47.56.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:15,104.47.57.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:15,104.47.57.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:15,104.47.56.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:15,104.47.56.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:15,104.47.57.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:15,104.47.56.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:15,104.47.57.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:15,104.47.51.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:15,104.47.56.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:15,104.47.56.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:15,104.47.51.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:15,104.47.57.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:15,104.47.57.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:14,104.47.51.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:14,104.47.57.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:14,104.47.57.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:14,104.47.56.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:14,104.47.56.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:14,104.47.57.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:14,104.47.56.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:14,104.47.56.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:14,104.47.56.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:14,104.47.51.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:14,104.47.56.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:14,104.47.51.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:14,104.47.51.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:14,104.47.51.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:14,104.47.57.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:14,89.249.57.65,CO,Bot-Mitigation,Block,protecaodedados.wiz.co
08/07/2024 11:14,104.47.57.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:13,104.47.56.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:13,104.47.56.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:13,104.47.57.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:13,104.47.56.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:13,104.47.51.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:13,104.47.57.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:13,104.47.51.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:13,104.47.51.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:13,104.47.57.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:13,104.47.51.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:13,104.47.57.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:13,104.47.57.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:13,89.249.58.235,CO,Bot-Mitigation,Block,protecaodedados.wiz.co
08/07/2024 11:13,104.47.56.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:13,104.47.51.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:12,104.47.51.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:12,104.47.56.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:12,104.47.56.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:12,104.47.57.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 11:12,104.47.56.126,US,Bot-Mitigation,Challenge,protecaodedados.wiz.co
08/07/2024 09:21,104.47.51.126,US,Bot-Mitigation,Challenge,tonawiz.wiz.co
08/07/2024 08:01,177.80.14.97,BR,Bot-Mitigation,Block,www.wiz.co
08/07/2024 05:20,199.45.155.86,US,Bot-Mitigation,Challenge,wpro-sb.wiz.co
08/07/2024 04:43,199.45.154.156,US,Bot-Mitigation,Challenge,termo.wiz.co
08/07/2024 04:21,142.93.240.190,US,Bot-Mitigation,Challenge,inter-sb.wiz.co
08/07/2024 03:59,199.45.155.107,US,Bot-Mitigation,Challenge,termo.wiz.co
08/07/2024 02:08,220.231.145.206,CN,Firewall,Block,www.wiz.co
08/07/2024 01:22,206.168.34.218,US,Bot-Mitigation,Challenge,termo.wiz.co
08/07/2024 01:01,167.94.138.45,US,Bot-Mitigation,Challenge,wpro-sb.wiz.co
08/07/2024 00:35,199.45.155.72,US,Bot-Mitigation,Challenge,news.wiz.co
08/07/2024 00:02,199.45.155.106,US,Bot-Mitigation,Challenge,news.wiz.co
08/07/2024 00:02,42.236.17.58,CN,Firewall,Block,www.wiz.co
07/07/2024 21:52,34.28.160.89,US,Bot-Mitigation,Block,www.wiz.co
07/07/2024 21:43,112.124.12.71,CN,Firewall,Block,www.wiz.co
07/07/2024 21:43,112.124.12.71,CN,Firewall,Block,www.wiz.co
07/07/2024 20:37,134.122.133.27,SG,Bot-Mitigation,Block,www.wiz.co
07/07/2024 15:43,220.231.144.20,CN,Firewall,Block,www.wiz.co
07/07/2024 15:41,110.154.98.233,CN,Firewall,Block,www.wiz.co
07/07/2024 15:16,187.108.197.238,BR,Bot-Mitigation,Challenge,assinatura.wiz.co
07/07/2024 15:16,187.108.197.238,BR,Bot-Mitigation,Challenge,assinatura.wiz.co
07/07/2024 13:53,136.143.176.64,US,Bot-Mitigation,Block,www.wiz.co
07/07/2024 13:03,159.138.109.164,CN,Firewall,Block,news.wiz.co
07/07/2024 11:26,159.223.164.199,US,Bot-Mitigation,Challenge,banestes-sb.wiz.co
07/07/2024 11:12,157.230.223.231,US,Bot-Mitigation,Challenge,banestes.wiz.co
07/07/2024 10:53,143.198.120.174,US,Bot-Mitigation,Challenge,brb-sb.wiz.co
07/07/2024 10:22,15.228.200.244,BR,Bot-Mitigation,Block,assinatura.wiz.co
07/07/2024 10:21,45.144.89.182,BR,Bot-Mitigation,Block,assinatura.wiz.co
07/07/2024 10:19,54.207.203.147,BR,Bot-Mitigation,Block,assinatura.wiz.co
